date,sleep_score,sleep_hours,deep_min,rem_min,light_min,awake_min,hrv_last_night,hrv_weekly_avg,hrv_status,body_battery_morning,training_readiness_score,training_readiness_level,resting_hr,vo2_max,stress_avg,spo2_avg,steps,active_calories,total_calories,activity_type,activity_name,activity_distance_km,activity_duration_min,activity_avg_hr,activity_max_hr,activity_calories,activity_training_load
2026-06-10,93,8.43,88,102,316,,,,NONE,99,50.0,46.1,11,96.0,453,8.0,989.0,running,Klaipeda Running,6.8,40.6,158.0,174.0,595.0,123.07754516601562
2026-06-11,87,8.38,68,75,360,1,,,NONE,46,53.0,46.1,21,95.0,4872,523.0,2259.0,lap_swimming,Pool Swim,1.2,26.1,133.0,172.0,309.0,43.419403076171875
2026-06-12,87,7.22,90,93,250,,,,NONE,47,50.0,46.1,21,95.0,4698,764.0,2342.0,road_biking,Klaipeda Road Cycling,32.68,70.5,146.0,171.0,886.0,122.46366882324219
2026-06-13,79,7.0,120,88,212,9,,58,NONE,99,25,LOW,48.0,46.1,16,95.0,2252,54.0,1212.0,running,Vilnius Running,5.05,29.9,159.0,178.0,443.0,96.56072998046875
2026-06-14,31,4.05,62,,181,32,,45,NONE,13,1,POOR,57.0,46.0,76,91.0,3676,629.0,1717.0,running,Vilnius Running,5.05,29.9,159.0,178.0,443.0,96.56072998046875
2026-06-15,87,7.65,58,103,298,9,,47,NONE,96,19,POOR,47.0,46.0,14,95.0,1104,18.0,1509.0,running,Vilnius Running,5.24,31.3,153.0,167.0,454.0,91.05137634277344
2026-06-16,84,7.31,50,85,304,3,69,50,NONE,99,50,MODERATE,47.0,46.2,27,94.0,7388,303.0,2507.0,running,Vilnius Running,5.24,31.3,153.0,167.0,454.0,91.05137634277344
2026-06-17,74,6.67,80,51,269,22,52,50,NONE,72,56,MODERATE,47.0,46.2,29,94.0,5181,198.0,1539.0,,,,,,,,
2026-06-18,72,5.93,55,50,251,6,57,50,NONE,72,32,LOW,51.0,46.2,28,97.0,4500,200.0,1931.0,running,Vilnius Running,5.23,31.7,158.0,175.0,464.0,117.40560913085938
2026-06-19,72,5.93,55,50,251,6,,48,NONE,56,50,MODERATE,53.0,46.2,42,94.33333333333333,7083,572.0,2262.0,lap_swimming,Pool Swim,1.3,27.6,123.0,157.0,332.0,27.065216064453125
2026-06-20,80,6.85,78,87,246,17,58,48,NONE,78,61,MODERATE,49.0,46.2,28,93.0,3481,123.0,1399.0,lap_swimming,Pool Swim,1.3,27.6,123.0,157.0,332.0,27.065216064453125
2026-06-21,68,5.35,50,53,218,5,55,58,NONE,82,32,LOW,50.0,46.6,17,95.0,1051,809.0,2278.0,road_biking,Klaipeda Road Cycling,31.75,65.5,141.0,170.0,787.0,83.2669677734375
2026-06-22,89,7.88,73,71,329,3,64,59,NONE,96,54,MODERATE,50.0,46.7,20,96.0,1742,3067.0,4519.0,road_biking,Preila Road Cycling,50.61,103.7,,,2079.0,0.5142669677734375
2026-06-23,69,6.9,58,45,311,41,48,55,NONE,66,44,LOW,51.0,46.7,29,96.0,5689,735.0,2523.0,lap_swimming,Pool Swim,1.6,35.1,131.0,149.0,443.0,37.532958984375
2026-06-24,69,6.9,58,45,311,41,,56,NONE,14,54,MODERATE,55.0,46.7,61,93.0,4231,387.0,2175.0,lap_swimming,Pool Swim,1.6,35.1,131.0,149.0,443.0,37.532958984375
2026-06-25,,,,,,,,56,NONE,,54,MODERATE,55.0,46.7,,,0,,,,,,,,,,
